,teamid,playerid,jerseynumber,position,teamname,leagueid,artificialkey,leaguename,firstname,surname,commonname,fullname
0,1,270390.0,21.0,29.0,Arsenal,13,68,Premier League,Marcus,Alencar,Marquinhos,Marcus Alencar
1,1,199503.0,34.0,11.0,Arsenal,13,68,Premier League,Granit,Xhaka,,Granit Xhaka
2,1,201118.0,17.0,3.0,Arsenal,13,68,Premier League,Cédric Ricardo,Alves Soares,Cédric,Cédric Ricardo Alves Soares
3,1,209989.0,5.0,9.0,Arsenal,13,68,Premier League,Thomas,Partey,,Thomas Partey
4,1,213051.0,25.0,28.0,Arsenal,13,68,Premier League,Mohamed,Elneny,,Mohamed Elneny
5,1,222665.0,8.0,18.0,Arsenal,13,68,Premier League,Martin,Ødegaard,,Martin Ødegaard
6,1,226491.0,3.0,7.0,Arsenal,13,68,Premier League,Kieran,Tierney,,Kieran Tierney
7,1,228295.0,16.0,28.0,Arsenal,13,68,Premier League,Rob,Holding,,Rob Holding
8,1,231936.0,4.0,4.0,Arsenal,13,68,Premier League,Benjamin,White,,Benjamin White
9,1,232580.0,6.0,6.0,Arsenal,13,68,Premier League,Gabriel,dos S. Magalhães,Gabriel,Gabriel dos S. Magalhães
10,1,232938.0,18.0,29.0,Arsenal,13,68,Premier League,Takehiro,Tomiyasu,,Takehiro Tomiyasu
11,1,233934.0,32.0,0.0,Arsenal,13,68,Premier League,Aaron,Ramsdale,,Aaron Ramsdale
12,1,236988.0,31.0,28.0,Arsenal,13,68,Premier League,Eddie,Nketiah,,Eddie Nketiah
13,1,240273.0,10.0,16.0,Arsenal,13,68,Premier League,Emile,Smith Rowe,,Emile Smith Rowe
14,1,241928.0,23.0,29.0,Arsenal,13,68,Premier League,Albert,Sambi Lokonga,,Albert Sambi Lokonga
15,1,246669.0,7.0,12.0,Arsenal,13,68,Premier League,Bukayo,Saka,,Bukayo Saka
16,1,251566.0,35.0,28.0,Arsenal,13,68,Premier League,Gabriel,Martinelli Silva,Gabriel Martinelli,Gabriel Martinelli Silva
17,1,251569.0,56.0,29.0,Arsenal,13,68,Premier League,Joel,López Salguero,Joel López,Joel López Salguero
18,1,259096.0,61.0,29.0,Arsenal,13,68,Premier League,Tim,Akinola,,Tim Akinola
19,1,259403.0,51.0,29.0,Arsenal,13,68,Premier League,Joel,Ideho,,Joel Ideho
20,1,260141.0,68.0,29.0,Arsenal,13,68,Premier League,Cătălin,Cîrjan,,Cătălin Cîrjan
21,1,260143.0,85.0,29.0,Arsenal,13,68,Premier League,Zane,Monlouis,,Zane Monlouis
22,1,256958.0,50.0,28.0,Arsenal,13,68,Premier League,Fábio Daniel,Ferreira Vieira,Fábio Vieira,Fábio Daniel Ferreira Vieira
23,1,233267.0,30.0,29.0,Arsenal,13,68,Premier League,Matt,Turner,,Matt Turner
24,1,230666.0,9.0,25.0,Arsenal,13,68,Premier League,Gabriel,Fernando de Jesus,Gabriel Jesus,Gabriel Fernando de Jesus
25,1,248732.0,55.0,29.0,Arsenal,13,68,Premier League,Karl,Hein,,Karl Hein
26,1,227813.0,11.0,29.0,Arsenal,13,68,Premier League,Oleksandr,Zinchenko,,Oleksandr Zinchenko
27,1,243715.0,2.0,29.0,Arsenal,13,68,Premier League,William,Saliba,,William Saliba
28,1,231448.0,14.0,29.0,Arsenal,13,68,Premier League,Reiss,Nelson,,Reiss Nelson
6534,2,152908.0,18.0,28.0,Aston Villa,13,69,Premier League,Ashley,Young,,Ashley Young
6535,2,189242.0,23.0,16.0,Aston Villa,13,69,Premier League,Philippe,Coutinho Correia,Coutinho,Philippe Coutinho Correia
6536,2,195859.0,22.0,28.0,Aston Villa,13,69,Premier League,Danny,Ings,,Danny Ings
6537,2,200458.0,27.0,7.0,Aston Villa,13,69,Premier League,Lucas,Digne,,Lucas Digne
6538,2,202811.0,1.0,0.0,Aston Villa,13,69,Premier League,Emiliano,Martínez,,Emiliano Martínez
6539,2,205989.0,21.0,28.0,Aston Villa,13,69,Premier League,Calum,Chambers,,Calum Chambers
6540,2,207557.0,12.0,28.0,Aston Villa,13,69,Premier League,Robin,Olsen,,Robin Olsen
6541,2,210635.0,30.0,28.0,Aston Villa,13,69,Premier League,Kortney,Hause,,Kortney Hause
