,Unnamed: 0_old,teamid_old,playerid,jerseynumber_old,position_old,teamname_old,leagueid_old,artificialkey_old,leaguename_old,firstname_old,surname_old,commonname_old,fullname_old,Unnamed: 0_new,teamid_new,jerseynumber_new,position_new,teamname_new,leagueid_new,artificialkey_new,leaguename_new,firstname_new,surname_new,commonname_new,fullname_new
0,0,1,270390.0,21.0,29.0,Arsenal,13,68,Premier League,Marcus,Alencar,Marquinhos,Marcus Alencar,,,,,,,,,,,,
18,18,1,259096.0,61.0,29.0,Arsenal,13,68,Premier League,Tim,Akinola,,Tim Akinola,,,,,,,,,,,,
80,6585,3,242464.0,32.0,29.0,Blackburn R.,14,88,EFL Championship,Connor,McBride,,Connor McBride,,,,,,,,,,,,
93,6598,4,11381.0,1.0,28.0,Bolton,60,325,EFL League One,Matt,Gilks,,Matt Gilks,,,,,,,,,,,,
94,6599,4,140422.0,27.0,28.0,Bolton,60,325,EFL League One,Alex,Baptiste,,Alex Baptiste,,,,,,,,,,,,
96,6601,4,184467.0,7.0,28.0,Bolton,60,325,EFL League One,Nathan,Delfouneso,,Nathan Delfouneso,,,,,,,,,,,,
107,6612,4,223918.0,28.0,29.0,Bolton,60,325,EFL League One,Brandon,Comley,,Brandon Comley,,,,,,,,,,,,
110,6615,4,229779.0,26.0,29.0,Bolton,60,325,EFL League One,Liam,Edwards,,Liam Edwards,,,,,,,,,,,,
120,6625,4,262852.0,46.0,29.0,Bolton,60,325,EFL League One,Ryan,Colvin,,Ryan Colvin,,,,,,,,,,,,
148,6653,7,118794.0,31.0,28.0,Everton,13,71,Premier League,Andy,Lonergan,,Andy Lonergan,,,,,,,,,,,,
151,6656,7,184484.0,10.0,18.0,Everton,13,71,Premier League,Gylfi,Sigurðsson,,Gylfi Sigurðsson,,,,,,,,,,,,
210,6715,8,221743.0,18.0,28.0,Leeds United,14,72,EFL Championship,Hélder Wander,Sousa Azevedo Costa,Hélder Costa,Hélder Wander Sousa Azevedo Costa,,,,,,,,,,,,
214,6719,9,189509.0,6.0,15.0,Liverpool,13,73,Premier League,Thiago,Alcântara,Thiago,Thiago Alcântara,,,,,,,,,,,,
232,6737,9,259430.0,53.0,29.0,Liverpool,13,73,Premier League,Marcelo,Pitaluga,Marcelo Pitaluga,Marcelo Pitaluga,,,,,,,,,,,,
255,6760,10,243391.0,56.0,28.0,Manchester City,13,74,Premier League,Iker,Pozo La Rosa,Iker Pozo,Iker Pozo La Rosa,,,,,,,,,,,,
293,6798,12,172425.0,22.0,28.0,Middlesbrough,14,89,EFL Championship,Souleymane,Bamba,,Souleymane Bamba,,,,,,,,,,,,
297,6802,12,203537.0,21.0,12.0,Middlesbrough,14,89,EFL Championship,Sammy,Ameobi,,Sammy Ameobi,,,,,,,,,,,,
318,6823,12,264275.0,33.0,29.0,Middlesbrough,14,89,EFL Championship,Jack,Robinson,,Jack Robinson,,,,,,,,,,,,
330,6835,13,198039.0,29.0,29.0,Newcastle Utd,13,76,Premier League,Mark,Gillespie,,Mark Gillespie,,,,,,,,,,,,
347,6852,13,251453.0,35.0,29.0,Newcastle Utd,13,76,Premier League,Dan,Langley,,Dan Langley,,,,,,,,,,,,
374,6879,14,251427.0,45.0,29.0,Nott'm Forest,13,90,Premier League,Jayden,Richardson,,Jayden Richardson,,,,,,,,,,,,
391,6896,14,278538.0,28.0,29.0,Nott'm Forest,13,90,Premier League,Danilo,Santos de Oliveira,Danilo,Danilo Santos de Oliveira,,,,,,,,,,,,
392,6897,14,4660.0,9.0,29.0,Nott'm Forest,13,90,Premier League,Andrey,Nascimento dos Santos,Andrey Santos,Andrey Nascimento dos Santos,,,,,,,,,,,,
395,6900,15,164766.0,3.0,29.0,QPR,14,91,EFL Championship,Lee,Wallace,,Lee Wallace,,,,,,,,,,,,
