firstname	commonname	playerjerseyname	surname	playerid
Yago Rafael	Yago Darub	Yago Darub	Valadares Darub	22
Paulo Vítor	Paulo Vítor	Paulo Vítor	Leal Sousa Lima	3000
Miguel Angel	Miguelito	Miguelito	Terceros Acuna	4330
Luiz Carlos	Mirandinha	Mirandinha	Paulino de Carvalho	4331
Luiz Henrique	Luiz Henrique	Luiz Henrique	Bezerra dos Santos	4332
Hélio Miguel	Neneca	Neneca	Junior	4333
Guilherme	Guilherme	Guilherme	Lopes de Almeida	4334
Everton José	Everton Silva	Everton Silva	Modesto da Silva	4335
João Paulo	João Paulo	João Paulo	Silveira dos Santos	4336
Wallace	Wallace	Wallace	Madeira Almeida	4337
Gustavo	Gustavo	Gustavo	Vieira Lopes	4338
Bruno D Lucas	Bruno Lopes	Bruno Lopes	Nascimento Lopes	4339
Jean Carlos	Jean	Jean	Batista	4340
David	David Braw	David Braw	Medeiros dos Santos	4341
Mauricio	Mauricio	Mauricio	Silva dos Santos	4342
Jian Kayo	Jian	Jian	Gomes Soares	4343
Rafael	Rafael Oller	Rafael Oller	Oller Pereira	4344
Leonardo	Leonardo Kalil	Leonardo Kalil	Kalil Abdala	4345
Gabriel	Gabriel Popo	Gabriel Popo	Protasio Gomes	4346
Lucas	Lucas Barcelos	Lucas Barcelos	Barcelos Damacena	4347
John		Mercado	Mercado	4348
Gabriel	Gabriel Conceiçao	Gabriel	da Conceiçao dos Santos	4349
Lucas Alexandre	Lucas Marques	Lucas Marques	Marques Otaviano	4350
Matheus	Matheus Albino	Matheus Albino	Albino Carneiro	4351
Gabriel	Gabriel Barros	Gabriel Barros	de Sousa Barros	4352
Wanderson Cristaldo	Wanderson	Wanderson	Farias	4353
Guilherme Christino	Guilherme Christino	Guilherme	Ferreira da Silva	4354
José Leonardo	Léo Ceara	Léo Ceara	Verissimo do Nascimento	4355
Diego	Diego Ivo	Diego Ivo	Ivo Pires	4356
Joécio	Joécio	Joécio	Barbosa dos Santos	4357
Geovane	Giva Santos	Giva Santos	Silva Santos	4358
Getterson	Getterson Alves	Getterson	Alves dos Santos	4359
Victor Bernardes	Victor Souza	Victor Souza	Andrade e Souza	4360
Lucas Nathan	Lucas Nathan	Lucas Nathan	Veloso	4361
Julio	Julio	Julio	Rodrigues de Albuquerque	4362
Bruno	Bruno Ferreira	Bruno Ferreira	Ferreira Ventura Diniz	4363
Emerson Ramon	Emerson Negueba	Emerson	Bezerra Oliveira	4364
Willian Estefani	Willian Machado	Willian Machado	Machado	4365
Javier		Reina	Reina	4366
Gabriel	Gabriel Bubniack	Gabriel	Bubniack	4367
Luis Otavio	Nene Bonilha	Nene Bonilha	Bonilha de Oliveira	4368
João Victor	João Victor	João Victor	Lima Ferreira	4369
Douglas Matheus	Douglas	Douglas	do Nascimento	4370
Mateus	Nascimento	Nascimento	Nascimento Soares	4371
João Victor	João Victor	João Victor	Nascimento dos Santos	4372
Julio Vitor	Julio Vitor	Julio Vitor	Souza Ferreira	4373
Mauricio	Mauricio	Mauricio	dos Santos Nascimento	4374
Railan	Railan	Railan	Reis Ferreira	4375
Adenilson Martins	Adenilson	Adenilson	do Carmo Nascimento	4376
Paulo Vitor	Paulo Vitor	Paulo Vitor	Freitas Souza	4377
Guilherme Augusto	Pacheco	Pacheco	Pacheco	4378
Pedro Vitor	Pedro Vitor	Pedro Vitor	Ferreira da Silva	4379
Eduardo Antônio	Eduardo Teixeira	Eduardo Teixeira	Machado Teixeira	4380
Matheus Henrique	Matheus Souza	Matheus Souza	de Souza de Carvalho	4381
Erinaldo	Para	Para	Santos Ribeiro	4382
Pedro Henrique	Pedro	Pedro	Carrerete Lima	4383
Caique Calito	Caique	Caique	Fernandes Costa	4384
Jean Francisco	Jean Martim	Jean Martim	Martim Candido	4385
Carlos Eduardo	Carlos Eduardo	Carlos Eduardo	da Costa Mendes	4386
Lucas Hipolito	Lucas Hipolito	Lucas Hipolito	Cavalcante e Silva	4387
Diogo Mateus	Diogo Mateus	Diogo Mateus	de Almeida Rodrigues Maciel	4388
Jorge		Jiménez	Jiménez	4389
Heitor	Heitor	Heitor	Gatti Silva	4390
Bryan Gabriel	Bryan	Bryan	Fernandes	4391
Genilson Marcelo	Genilson	Genilson	Pereira Santos	4392
Alipio	Alipio	Alipio	Duarte Brandao	4393
Gustavo	Vilar	Vilar	Vilar dos Santos	4394
Mario Sérgio	Mario Sérgio	Mario Sérgio	Valério	4395
Roger	Roger Carvalho	Roger Carvalho	de Carvalho	4396
Raphael Lourenço	Raphinha	Raphinha	Santos	4397
Elacio		Cordoba	Cordoba	4398
Denival Tenorio	Denival	Denival	dos Santos	4399
Samuel		Oti	Oti	4400
Lucas	Lucas Cardoso	Lucas Cardoso	Rodrigues Cardoso	4401
Arthur	Arthur Gazze	Arthur Gazze	Gazze de Souza	4402
Mateus	Mateusinho	Mateusinho	da Silva Duarte	4403
Dênis César	Dênis	Dênis	de Matos	4404
Matheus	Matheus Paqueta	Matheus Paqueta	Tolentino Coelho de Lima	4405
Jhonny Lucas	Jhonny Lucas	Jhonny Lucas	Flora Barbosa	4406
Denilson	Denilson	Denilson	dos Santos Souza	4407
Anilson	Anilson	Anilson	Dourado Santiago	4408
Kleiton	Kleiton	Kleiton	Pego Duarte	4409
Altemir Cordeiro	Neto Pessoa	Neto Pessoa	Pessoa Neto	4410
Giovani	Giovani	Giovani	Albuquerque Felippi	4411
João Lucas	João Lucas	João Lucas	Vilela de Sousa	4412
Luiz Henrique	Luizinho	Luizinho	Mendes Silva da Costa	4413
Chrystian Amaral	Chrystian Barletta	Chrystian	Barletta de Almeida	4414
Derek	Derek	Derek	Freitas Ribeiro	4415
Fernando Augusto	Fernando	Fernando	Pereira Bueno Júnior	4416
Maílton	Maílton	Maílton	dos Santos de Sá	4417
José Cleylton	Cleylton	Cleylton	de Morais dos Santos	4418
Edson Fernando	Edson Fernando	E. Fernando	Silva Gomes	4419
Vinícius	Diniz	Diniz	Diniz Dall Antonia	4420
Arilton	Arilton	Arilton	Queiroz Junior	4421
Gabriel	Gabriel Gasparotto	Rivero	Gasparotto	4422
Mario Sérgio	Mario Sérgio	Mario Sérgio	Pereira Junior	4423
Leonardo	Léo Silva	Léo Silva	Almeida Silva	4424
Young	Young	Young	Navarro Moraes	4425
Luiz Henrique	Luiz Henrique	Luiz Henrique	Rosa Roque da Paz	4426
Gabriel	Gabriel Maioli	Maioli	da Silva	4427
João Pedro	Palmberg	Palmberg	Gomes Palmberg	4428
Amarildo	Amarildo	Amarildo	Aparecido de Souza Júnior	4429
Roberson	Roberson	Roberson	de Arruda Alves	4430
Nicolas	Nicolas Careca	Nicolas	Morés da Cruz	4431
Mateus	Ludke	Ludke	Ludke	4432
Paulo Henrique	Paulo Gianezini	Paulo Gianezini	Gianezini	4433
Fernando	Fernando Viana	Fernando	Viana Jardim Silva	4434
Lucas	Lucas Poletto	Lucas Poletto	Poletto Costa	4435
Alexandre	Alexandre Tam	Alexandre Tam	Gomes Felipe	4436
Gustavo	Gustavo Cazonatti	Gustavo	Cazonatti	4437
Oswaldo		Henríquez	Henríquez	4438
Kadu	Kadu	Kadu	Ribeiro Durval	4439
Alex Paulo	Alex Santana	Alex Santana	Santana	4440
Daniel	Daniel Cruz	Daniel Cruz	Santos da Cruz	4441
Vinícius	Vinícius Boff	Vinícius Boff	Gonçaloves Boff	4442
Raí	Raí	Raí	Pessanha	4443
Eguinaldo	Eguinaldo	Eguinaldo	Sousa Lemos	4444
Marlon	Marlon Gomes	Marlon Gomes	Gomes	4445
Jefferson	Jeffinho	Jeffinho	Ruan Pereira dos Santos	4446
William	William Alves	William Alves	Alves	4447
Anderson	Anderson Rosa	Anderson Rosa	Rosa	4448
Victor	Victor Golas	Victor Golas	Golas	4449
Phillipe	Phillipe Guimarães	Phillipe Guimarães	Guimarães	4450
Michel	Michel Araújo	Michel Araújo	Araújo Villar	4451
Luiz Gustavo	Luizão	Luizão	Oliveira da Silva	4452
João Pedro	João Pedro	João Pedro	Mendes Santos	4453
Eduardo	Eduardo	Eduardo	Silva Albuquerque	4454
Gabriel Santiago	Gabriel Santiago	G Santiago	Oliveira	4455
Luis Felipe	Luis Felipe	Luis Felipe	Hungria Martins	4456
Otávio	Otávio	Otávio	Machado de Avila	4457
Rodrigo	Rodriguinho	Rodriguinho	Almeida Mendonça	4458
Caio	Caio	Caio	García	4459
Talisson	Talisson	Talisson	Alves	4460
Thiago	Mosquito	Mosquito	Rodrigues da Silva	4461
Welenilson Henrique	Henrique	Henrique	Cesario Ramos	4462
Bryan	Bryan	Bryan	Gomes	4463
Ramiro	Ramiro	Ramiro	Andrade	4464
Lucas Valmir	Lucas Barbosa	Lucas Barbosa	da Silva Barbosa	4465
Pedro Lucas	Pedro Lucas	Pedro Lucas	Antunes dos Santos	4466
Lucas	Oliveira	Oliveira	da Silva Oliveira	4467
Pedro Henrique	Lico	Lico	Gomes Venerozo	4468
Felipe	Felipe	Felipe	Barbosa	4469
Walter Alan	Alan Silva	Alan Silva	Nogueira da Silva	4470
Gabriel Galhardo	Gabriel Galhardo	Galhardo	do Nascimento Rocha	4471
Antônio	Antônio	Antônio	Barros	4472
Hiago	Hiago	Hiago	Accinelli da Roza	4473
Maxwell Lima	Max	Max	Santiago dos Santos	4474
Vinícius	Vinícius	Vinícius	Gonçalves	4475
Gabriel Dyghana	Dyghana	Dyghana	Carvalho Duarte	4476
Arthur	Arthur	Arthur	Batista	4477
Leonardo	Leonardo	Leonardo	Borges	4478
Kauãn	Kauãn Guedes	Kauãn Guedes	Guedes de Campos	4479
Renan	Renan	Renan	Chagas de Oliveira	4480
Thiago	Thiago	Thiago	Campos	4481
Miguel	Miguel	Miguel	Cardoso	4482
Breno	Breno Boeno	Breno Boeno	Boeno	4483
Nicolas Hermes	Nicolas	Nicolas	Schmitt	4484
Leonardo Mello	Leonardo Mello	Leonardo Mello	Muller da Silva	4485
Rodrigo	Rodrigo García	Rodrigo García	García da Rosa	4486
Ederson Gabriel	Tuty	Tuty	Mazui de Faria	4487
Leandro	Leandro Salino	Leandro Salino	Salino do Carmo	4488
Pietro	Pietro	Pietro	Lima	4489
Carlos	Carlos	Carlos	Lopes	4490
Gabriel	Gabriel	Gabriel	Carvalho	4491
Luís	Luís	Luís	Machado	4492
Filipe	Filipe Carvalho	Filipe Carvalho	dos Santos Carvalho	4493
Davi	Davi	Davi	Silva	4494
Bernardo	Bernardo	Bernardo	Costa	4495
Matheus	Matheus	Matheus	da Cruz	4496
João Miguel	João Miguel	João Miguel	Castro	4497
Nycolas Gabryel	Nycolas	Nycolas	Vieira da Silva	4498
Samuel	Samuel	Samuel	Dias	4499
Julio Cesar	Julio Lima	Julio Lima	Batista Lima	4500
Breno	Breno	Breno	Rodrigues	4501
Emanuel	Emanuel	Emanuel	Marques	4502
Javier Franco	Javier	Javier	de Matos	4503
Rafael	Rafael	Rafael	Duarte	4504
Francisco	Francisco	Francisco	Martins	4505
