countryid	leaguename	leaguetype	level	iscompetitionscarfenabled	isbannerenabled	leagueid	iscompetitionpoleflagenabled	iscompetitioncrowdcardsenabled	leaguetimeslice	iswithintransferwindow
13	3F Superliga	0	1	2	2	1	2	2	5	0
7	1A Pro League	0	1	2	2	4	2	2	5	0
54	Brasileirão	0	1	2	2	7	2	2	7	0
34	Eredivisie	0	1	2	2	10	2	2	3	0
14	Premier League	0	1	1	2	13	2	2	3	0
14	EFL Championship	0	2	2	2	14	2	2	3	0
18	Ligue 1 Uber Eats	0	1	2	2	16	2	2	3	0
18	Ligue 2 BKT	0	2	2	2	17	2	2	4	0
21	Bundesliga	0	1	2	2	19	2	2	3	0
21	Bundesliga 2	0	2	2	2	20	2	2	4	0
27	Serie A TIM	0	1	1	1	31	1	1	3	0
95	MLS	0	1	2	2	39	2	2	8	0
36	Eliteserien	0	1	2	2	41	2	2	7	0
42	cinch Prem	0	1	2	2	50	2	2	4	0
45	LaLiga Santander	0	1	0	1	53	1	1	3	0
45	LaLiga SmartBank	0	2	0	1	54	1	1	3	0
46	Allsvenskan	0	1	2	2	322	2	2	7	0
14	EFL League One	0	3	2	2	60	2	2	3	0
14	EFL League Two	0	4	2	2	61	2	2	3	0
25	SSE Airtricity PD	0	1	2	2	65	2	2	8	0
37	PKO Ekstraklasa	0	1	2	2	66	2	2	4	0
48	Süper Lig	0	1	2	2	68	2	2	3	0
211	Resto do Mundo	0	4	2	2	76	2	2	0	0
75	Seleções Masc.	0	5	2	2	78	2	2	0	0
4	Ö. Bundesliga	0	1	2	2	80	2	2	5	0
167	K League 1	0	1	2	2	2149	2	2	8	0
0	*LeagueName_Abbr15_111	0	1	2	2	111	2	2	0	0
47	CSSL 	0	1	2	2	189	2	2	5	0
38	Liga Portugal	0	1	2	2	308	2	2	3	0
39	Liga I	0	1	2	2	330	2	2	5	0
83	LIGA BBVA MX	0	1	2	2	341	2	2	5	0
163	Meiji Yasuda J1	0	1	2	2	349	2	2	8	0
183	MBS Pro League	0	1	2	2	350	2	2	3	0
195	Australian A-League	0	1	2	2	241	2	2	3	0
52	LPF	0	1	2	2	353	2	2	6	0
210	Passes Livres	0	1	2	2	382	2	2	0	0
209	Jogadores Criados	0	1	2	2	383	2	2	0	0
216	Centro de Criação	0	1	2	2	384	2	2	0	0
225	Libertadores	0	1	2	2	1003	2	2	0	0
225	Sul-Americana	0	1	2	2	1014	2	2	0	0
0	*LeagueName_Abbr15_2000	0	6	2	2	2000	2	2	0	0
155	CSL	0	1	2	2	2012	2	2	12	0
0	Liga Mundial	0	7	2	2	2028	2	2	0	0
21	3. Liga	0	3	2	2	2076	2	2	3	0
0	Futsal: título	0	1	2	2	2092	2	2	0	0
222	Seleções fem.	0	5	2	2	2136	2	2	3	0
54	Brasileirão Série B	0	2	2	2	56	2	2	7	0
54	Brasileirão Série C	0	3	2	2	351	2	2	7	0
54	Brasileirão Série D	0	4	2	2	83	2	2	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
