homega	previousyeartableposition	homegf	currenttableposition	awaygf	awayga	teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	highestpossible	teamform	highestprobable	homewins	artificialkey	nummatchesplayed	teamid	grouping	awaywins	objective	points	actualvsexpectations	homelosses	unbeatenhome	lastgameresult	unbeatenaway	awaylosses	awaydraws	homedraws	teamlongform
1	1	1	10	5	7	25	0	1	0	0	1	1	1	0	1110	5	0	0	4	269	5	0	10	3	4	0	1	2	0	1	2	1	25
1	12	4	5	0	0	50	0	0	0	1	0	1	1	0	1112	8	1	1	4	270	8	0	5	6	0	0	1	0	1	0	1	2	50
3	4	2	11	0	2	16	0	1	0	0	0	1	1	0	1100	4	0	2	4	271	4	0	10	2	4	1	0	2	0	1	1	1	16
2	9	0	8	4	5	33	0	0	0	0	0	1	1	0	2100	3	0	3	4	272	3	1	3	4	1	1	0	2	0	1	1	0	33
4	3	6	3	2	0	66	0	0	0	1	0	1	1	0	1122	10	1	4	4	819	10	1	0	8	2	0	1	0	1	0	0	2	66
1	7	2	6	2	2	41	0	0	0	0	0	1	1	0	1012	8	1	5	4	820	8	0	8	5	1	1	0	0	1	0	2	0	41
4	10	2	12	1	5	8	0	1	0	0	0	1	1	0	10	4	0	6	4	822	4	0	5	1	2	1	0	2	0	2	0	1	8
3	2	5	2	3	0	75	0	0	0	0	0	1	1	0	222	10	1	7	4	1516	10	2	0	9	2	1	0	0	1	0	0	0	75
1	6	2	1	4	1	83	0	0	0	1	0	1	1	0	2122	0	1	8	4	1786	0	2	8	10	0	0	1	0	1	0	0	1	83
3	5	4	4	2	0	58	0	0	0	0	0	1	1	0	122	10	1	9	4	1788	10	1	8	7	0	1	0	0	1	0	0	1	58
2	11	0	9	4	6	33	0	0	0	0	0	1	1	0	2100	5	0	10	4	114845	5	1	5	4	1	1	0	2	0	1	1	0	33
2	8	1	7	0	1	33	0	0	0	0	0	1	1	0	1200	3	1	11	4	114846	3	0	3	4	1	1	0	2	0	1	1	0	33
3	4	4	8	1	1	44	0	0	0	0	0	4	4	0	12	8	1	12	3	229	8	0	10	4	2	1	0	0	1	0	1	0	44
1	3	0	13	7	5	33	0	0	0	0	0	4	4	0	2	3	0	13	3	230	3	1	10	3	3	1	0	0	0	1	0	0	33
3	1	3	6	1	0	55	0	0	1	1	1	4	4	0	121	8	0	14	3	231	8	1	0	5	3	0	1	1	1	0	0	2	55
6	8	3	12	2	1	44	0	0	0	0	0	4	4	0	120	3	0	15	3	232	3	1	8	4	2	1	0	2	1	0	0	1	44
0	13	0	4	4	1	55	0	0	1	1	0	4	4	0	211	10	0	16	3	670	10	1	8	5	0	0	1	1	1	0	1	1	55
4	2	3	10	3	2	44	0	0	0	0	0	4	4	0	102	3	0	17	3	673	3	1	0	4	4	1	0	0	1	0	1	0	44
2	5	2	17	1	3	11	0	1	0	0	0	4	4	0	10	4	0	18	3	674	4	0	10	1	4	0	1	2	0	2	0	1	11
4	15	3	11	0	0	44	0	0	0	0	0	4	4	0	210	3	1	19	3	680	3	0	3	4	1	1	0	2	1	0	1	0	44
3	7	1	3	4	3	66	0	0	0	0	0	4	4	0	22	10	1	20	3	682	10	1	3	6	0	1	0	0	1	0	0	0	66
1	16	1	7	2	1	55	0	0	0	1	0	4	4	0	211	8	0	21	3	1750	8	1	5	5	0	0	1	1	1	0	1	1	55
1	12	1	5	5	3	55	0	0	1	1	0	4	4	0	112	8	0	22	3	2013	8	1	5	5	0	0	1	0	1	0	1	1	55
1	9	0	1	6	1	66	0	0	0	0	0	4	4	0	202	0	0	23	3	2014	0	2	5	6	0	1	0	0	1	0	0	0	66
2	10	1	9	4	2	44	0	0	0	0	0	4	4	0	102	3	0	24	3	15005	3	1	8	4	2	1	0	0	1	0	1	0	44
2	14	3	2	1	0	66	0	0	0	0	0	4	4	0	220	10	1	25	3	100081	10	1	3	6	0	1	0	2	1	0	0	0	66
2	11	2	14	1	1	33	0	1	1	1	0	4	4	0	111	3	0	26	3	100087	3	0	3	3	1	0	1	1	1	0	1	2	33
5	6	4	15	0	1	33	0	0	0	0	0	4	4	0	200	5	1	27	3	110724	5	0	8	3	3	1	0	2	0	1	0	0	33
0	18	1	16	0	5	33	0	0	0	0	0	4	4	0	20	4	1	28	3	114520	4	0	5	3	2	0	1	2	0	2	0	0	33
4	17	0	18	2	2	11	0	1	0	0	0	4	4	0	10	4	0	29	3	114526	4	0	3	1	3	2	0	2	1	0	1	0	11
0	3	0	3	0	0	0	0	0	0	0	0	7	7	0	0	0	0	30	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0
6	7	4	7	6	7	26	0	0	0	0	0	7	7	0	12000	3	2	31	14	567	3	2	8	17	2	2	0	2	0	3	3	2	30
0	13	0	13	0	0	0	0	0	0	0	0	7	7	0	0	0	0	32	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	14	1	9	6	100	0	0	0	0	1	7	7	0	22222	0	5	33	15	1035	0	6	0	34	1	1	0	0	0	2	0	1	80
9	14	12	14	10	8	26	0	0	0	0	0	7	7	0	10200	8	4	34	14	1039	8	3	8	23	1	1	0	2	0	4	0	2	36
0	5	0	5	0	0	0	0	0	0	0	0	7	7	0	0	0	0	35	0	1041	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	2	0	0	0	0	0	0	0	0	7	7	0	0	0	0	36	0	1043	0	0	0	0	0	0	0	0	0	0	0	0	0
8	12	5	12	11	10	53	0	0	0	0	0	7	7	0	12012	3	1	37	15	1048	3	3	9	18	3	3	0	0	0	2	3	3	43
3	10	9	10	7	13	33	0	0	0	0	0	56	7	0	1021	3	4	38	15	1053	3	1	8	20	2	1	0	1	0	4	2	3	43
9	16	7	16	3	7	26	0	0	0	0	0	7	7	0	1020	3	4	39	14	605	3	0	5	16	0	3	0	2	0	3	3	1	46
