firstname	commonname	surname	skintypecode	haircolorcode	facialhairtypecode	managerid	hairtypecode	headtypecode	height	seasonaloutfitid	weight	hashighqualityhead	gender	headassetid	ethnicity	faceposerpreset	teamid	eyebrowcode	eyecolorcode	personalityid	headclasscode	nationality	sideburnscode	headvariation	skintonecode	outfitid	hairstylecode	bodytypecode	facialhaircolorcode
Mikel	Mikel Arteta	Arteta Amatriain	2	1	6	45119	160	2016	175	5529	75	1	0	45119	4	2	1	1	9	0	0	45	0	0	4	5500	0	83	0
Dean		Smith	51	2	0	249224	114	1532	185	5509	75	1	0	249224	2	0	2	1	1	0	0	14	0	0	2	5510	0	86	1
			0	1	0	250608	16	1	185	5511	75	0	0	26542	2	0	3	0	3	0	0	14	0	0	2	5506	0	86	0
			0	1	0	257088	16	1	191	5511	75	0	0	26539	2	0	4	0	1	0	0	14	0	0	2	5510	0	86	0
Thomas	Thomas Tuchel	Tuchel	2	5	6	250585	114	2000	192	5511	75	1	0	1397	2	2	5	1	1	1	0	21	0	1	2	5506	0	86	3
Rafael	Rafa Benítez	Benítez Maudes	51	3	12	233859	290	33	175	5538	75	1	0	233859	3	0	7	6	5	0	0	45	0	0	3	5514	0	83	0
Marcelo		Bielsa	51	9	6	249979	290	2007	184	5511	75	0	0	249979	3	0	8	0	6	1	0	52	0	0	3	5520	0	83	3
Jürgen		Klopp	51	5	8	232302	111	2024	193	5509	70	1	0	232302	2	0	9	0	1	1	0	21	0	0	4	5526	0	85	3
Josep	Pep Guardiola	Guardiola i Sala	2	6	4	169894	43	5	180	5509	73	1	0	169894	3	0	10	0	4	1	0	45	0	0	4	5569	0	81	2
Erik	Ten Hag	Ten Hag	51	9	0	262176	106	4001	178	5544	75	1	0	26542	2	0	11	0	8	0	0	34	0	0	2	5572	0	83	3
			0	1	0	245236	16	1	175	5511	81	0	0	26542	2	0	12	0	3	1	0	14	0	0	2	5510	0	83	0
Steve		Bruce	51	9	0	234530	189	34	183	5511	75	1	0	234530	2	0	13	0	8	0	0	14	0	0	2	5510	0	83	3
			0	1	0	240488	16	1	170	5558	67	0	0	26547	2	0	14	0	3	0	0	25	0	0	8	5507	0	89	0
			0	1	0	250024	16	1	183	5511	75	0	0	26538	2	0	15	0	2	0	0	14	0	0	1	5520	0	83	0
Ralph		Hasenhüttl	2	6	8	150527	176	2	191	5510	92	1	0	150527	2	0	17	6	1	1	0	4	0	0	3	5510	0	86	1
Antonio 	Antonio Conte	Conte	2	9	18	250187	290	2505	188	5509	75	0	0	26541	6	0	18	0	9	1	0	38	0	0	6	5506	0	86	2
David		Moyes	51	9	0	235732	22	3500	185	5511	79	1	0	235732	2	0	19	6	8	0	0	42	0	0	3	5551	0	86	1
			0	1	0	249812	16	1	189	5511	75	0	0	26541	2	3	21	0	6	0	0	21	0	0	1	5522	0	86	0
			0	3	6	50999	75	4000	187	5527	83	0	0	26540	2	3	22	0	1	1	0	21	0	0	2	5520	0	85	0
			0	1	0	248898	16	1	184	5509	75	0	0	26544	2	0	23	0	9	0	0	4	0	0	3	5566	0	83	0
			0	1	0	249127	16	1	181	5557	75	0	0	26542	2	0	25	0	3	1	0	21	0	0	2	5551	0	83	0
			2	9	16	249658	154	1501	185	5511	75	0	0	26543	2	0	27	0	7	0	0	21	0	0	2	5506	0	86	2
			0	1	0	250590	16	1	193	5555	75	0	0	26542	2	0	28	0	3	1	0	21	0	0	2	5522	0	86	0
Marco		Antwerpen	51	9	0	249992	0	2510	190	5511	75	0	0	249992	2	0	29	2	1	0	0	21	0	0	2	5506	0	86	3
			0	6	6	650	16	9	178	5566	77	0	0	26539	2	0	31	0	1	1	0	21	0	0	2	5566	0	82	3
			2	3	0	138420	30	2512	172	5560	83	0	0	26541	2	3	32	0	6	0	0	47	0	0	1	5580	0	88	3
Michael		Köllner	51	6	0	250083	154	4004	180	5511	75	0	0	250083	2	0	33	0	1	0	0	21	0	0	2	5551	0	83	0
			2	1	6	7379	22	2503	179	5544	78	0	0	26543	2	0	34	0	7	0	0	22	0	0	2	5504	0	82	0
			0	1	0	254885	16	1	198	5509	75	0	0	26540	2	3	36	0	1	0	0	95	0	0	2	5522	0	86	0
			0	1	0	42601	16	1	171	5511	69	0	0	26540	2	3	38	0	1	1	0	21	0	0	2	5566	0	89	0
Simone		Inzaghi	2	1	16	7728	111	1526	185	5548	82	0	0	7728	2	0	44	0	3	1	0	27	0	0	2	5580	0	84	0
