nameid	commentaryid	name
0	900000	
1	900000	A
2	900000	Ağca
3	900000	A K Jacobsen
4	900000	A Lan
5	900000	A l.
6	900000	A. Acevedo
7	900000	A. Acosta
8	900000	A. Aguilar
9	900000	A. Alcaraz
10	900000	A. Ale
11	900000	A. Alfageme
12	900000	A. Alghamdi
13	900000	A. Alipour
14	900000	A. Almeida
15	900000	A. Almuqrin
16	900000	A. Alnemer
17	900000	A. Alsaleh
18	900000	A. Alshanqeeti
19	900000	A. Alvarado
20	900000	A. Alvarez
21	900000	A. André
22	900000	A. Angulo
23	900000	A. Argachá
24	900000	A. Armoa
25	900000	A. Armstrong
26	900000	A. Asiri
27	900000	A. Bamba
28	900000	A. Barboza
29	900000	A. Barragán
30	900000	A. Benjamin
31	900000	A. Benítez
32	900000	A. Betsiel
33	900000	A. Bilbao
34	900000	A. Blanco
35	900000	A. Briseño
36	900000	A. Cabeza
37	900000	A. Carrera
38	900000	A. Castellano
39	900000	A. Castillo
40	900000	A. Cayetano
41	900000	A. Corzo
42	900000	A. Crespo
43	900000	A. Cruz
44	900000	A. De Miguel
45	900000	A. Diaz
46	900000	A. Domínguez
47	900000	A. Dávila
48	900000	A. Elis
49	900000	A. Espino
50	900000	A. Espinola
51	900000	A. Estupiñan
52	900000	A. Fallatah
53	900000	A. Faria
54	900000	A. Fernández
55	900000	A. Flores
56	900000	A. Franco
57	900000	A. Francés
58	900000	A. Garcete
59	900000	A. Garcia
60	900000	A. García
61	900000	A. Gonzál
62	900000	A. Grijalva
63	900000	A. Gudiño
64	900000	A. Guedes
65	900000	A. Gálvez
66	900000	A. Gómez
67	900000	A. Hamit
68	900000	A. Hassan
69	900000	A. Hassoun
70	900000	A. Heredia
71	900000	A. Herrero
72	900000	A. Hohberg
73	900000	A. Hurtado
74	900000	A. Ibrahim
75	900000	A. Iturbe
76	900000	A. Jiménez
77	900000	A. Jones
78	900000	A. Joui
79	900000	A. Khamis
80	900000	A. Lezama
81	900000	A. Lozano
82	900000	A. Luna
83	900000	A. López
84	900000	A. Majrashi
85	900000	A. Martín
86	900000	A. Mayorga
87	900000	A. Medina
88	900000	A. Mendoza
89	900000	A. Millán
90	900000	A. Mitchell
91	900000	A. Montero
92	900000	A. Mora
93	900000	A. Moreira
94	900000	A. Moreno
95	900000	A. Mourid
96	900000	A. Mumin
97	900000	A. Musaba
98	900000	A. Márquez
99	900000	A. Müller
100	900000	A. Nana
101	900000	A. Negredo
102	900000	A. Obaid
103	900000	A. Ocanto
104	900000	A. Organista
105	900000	A. Ortolá
106	900000	A. Osorio
107	900000	A. Pastor
108	900000	A. Pedraza
109	900000	A. Perea
110	900000	A. Pereira
111	900000	A. Peña
112	900000	A. Pimenta
113	900000	A. Pizzorno
114	900000	A. Preciado
115	900000	A. Pulido
116	900000	A. Quintero
117	900000	A. Quiñónez
118	900000	A. Rebić
119	900000	A. Remiro
120	900000	A. Rodado
121	900000	A. Rodales
122	900000	A. Rodriguez
123	900000	A. Rodríguez
124	900000	A. Sampedro
125	900000	A. Santos
126	900000	A. Seck
127	900000	A. Silva
128	900000	A. Sosa
129	900000	A. Succar
130	900000	A. Sánchez
131	900000	A. Talisca
132	900000	A. Tello
133	900000	A. Toure
134	900000	A. Traore
135	900000	A. Valera
136	900000	A. Vega
137	900000	A. Williams
138	900000	A. Zaldivar
139	900000	A. Zapata
140	900000	A. Zendejas
141	900000	A. Zori
142	900000	A. Živković
143	900000	A. Álvarez
144	900000	A. Ömür
145	900000	A.Al-Mazidi
146	900000	A.AlNaji
147	900000	A.AlShahrani
148	900000	A.Alkhaibari
149	900000	A.Almeida
150	900000	A.Alsalem
151	900000	A.Ammar
152	900000	A.Atouchi
153	900000	A.Becker
154	900000	A.Blomqvist
155	900000	A.Cabral
156	900000	A.Carrasquilla
157	900000	A.Cervantes
158	900000	A.Cretu
159	900000	A.Escoto
160	900000	A.Fontana
161	900000	A.Fouda
162	900000	A.González
163	900000	A.Guardado
164	900000	A.Hamdan
165	900000	A.Hamdi
166	900000	A.Hazazi
167	900000	A.Ildız
168	900000	A.Iniesta
169	900000	A.Ivan
170	900000	A.J.
171	900000	A.J. Morales
172	900000	A.Jamal
173	900000	A.Kante
174	900000	A.Khateeb
175	900000	A.Lemos
176	900000	A.Lopes
177	900000	A.MacDonald
178	900000	A.Majrashi
179	900000	A.Malki
180	900000	A.Malle
181	900000	A.Martinez
182	900000	A.Mendy
183	900000	A.Mhamdi
184	900000	A.Musa
185	900000	A.NDiaye
186	900000	A.Nashri
187	900000	A.Perez
188	900000	A.Puertas
189	900000	A.Raillo
190	900000	A.Rodriguez
191	900000	A.Sepúlveda
192	900000	A.Serban
193	900000	A.Shammary
194	900000	A.Smith
195	900000	A.Tejero
196	900000	A.Toure
197	900000	A.Valles
198	900000	A.Zain
199	900000	AJ
200	900000	AK.Bamba
201	900000	ALEXANDER-ARNOLD
202	900000	Aabid
203	900000	Aagard
204	900000	Aakash
205	900000	Aalto
206	900000	Aaltonen
207	900000	Aaneba
208	900000	Aapo
209	900000	Aaquist
210	900000	Aaren
211	900000	Aaro
212	900000	Aaron
213	900000	Aarons
214	900000	Aaronson
215	900000	Aarón
216	900000	Aas
217	900000	Aasbak
218	900000	Aasen
219	900000	Aasgaard
220	900000	Aasmundsen
221	900000	Aasmäe
222	900000	Aat
223	900000	Aatu
224	900000	Aayush
225	900000	Aškovski
226	900000	Ababio
227	920007	Ababneh
228	900000	Abada
229	900000	Abaida
230	900000	Abaka
231	900000	Abamelik
232	900000	Abascal
233	900000	Abass
234	900000	Abastoflor
235	920009	Abate
236	900000	Abath
237	900000	Abayisenga
238	900000	Abaz
239	900000	Abaza
240	920011	Abbas
241	920012	Abbasov
242	900000	Abbey
243	900000	Abbie
244	920016	Abbot
245	920017	Abbott
246	900000	Abby
247	900000	Abdallah
248	900000	Abdallah.A
249	900000	Abdallahi
250	900000	Abdel
251	900000	Abdel Hakim
252	900000	Abdel-Aziz
253	900000	Abdelali
254	900000	Abdelatif
255	920028	Abdelhamid
256	900000	Abdelkabir
257	900000	Abdelkader
258	920030	Abdellaoue
259	900000	Abdelli
260	900000	Abdelrahman
261	900000	Abdelrashid
262	900000	Abdelwahab
263	900000	Abdelwahed
264	900000	Abdenego
265	900000	Abderahmane
266	900000	Abderrahmane
267	900000	Abderrazak
268	920033	Abdi
269	900000	Abdijanovic
270	900000	Abdilla
271	900000	Abdon
272	920037	Abdou
273	900000	Abdoul
274	900000	Abdoul Fessal
275	900000	Abdoul Kader
276	900000	Abdoulay
277	920038	Abdoulaye
278	900000	Abdoulie
279	900000	Abdoullah
280	900000	Abdourahmane
281	900000	Abdu
282	900000	Abdu Conté
283	900000	Abdugheni
284	900000	Abduhamit
285	900000	Abdul
286	900000	Abdul Majid
287	900000	Abdul Manaf
288	900000	Abdul Rahman
289	900000	Abdul Samad
290	900000	Abdul Samed
291	900000	Abdul-Salaam
292	900000	Abdulah
293	900000	Abdulaziz
294	900000	Abdulbasit
295	900000	Abdulelah
296	900000	Abdulfatah
297	900000	Abdulhadi
298	900000	Abdulhamid
299	920045	Abdulkadir
300	920046	Abdulla
301	900000	Abdulla Yusuf
302	920047	Abdullaev
303	920048	Abdullah
304	900000	Abdullahi
305	920050	Abdullayev
306	900000	Abdullayeva
307	900000	Abdullo
308	900000	Abdulmajeed
309	900000	Abdulmalek
310	900000	Abdulmohsen
311	900000	Abdulova
312	920052	Abdulrahman
313	900000	Abdulrazak
314	900000	Abdulsamed
315	920053	Abdulwahab
316	900000	Abdusalam
317	900000	Abduwal
318	900000	Abduwali
319	900000	Abdón
320	900000	Abdón Prats
321	900000	Abdülkadir
322	900000	Abdülkerim
323	920055	Abe
324	900000	Abebe
325	900000	Abecasis
326	900000	Abedini
327	900000	Abedz
328	900000	Abedzadeh
329	900000	Abeid
330	920057	Abel
331	900000	Abel Ruiz
