leaguegoals	isamongtopscorers	yellows	isamongtopscorersinteam	jerseynumber	position	artificialkey	teamid	leaguegoalsprevmatch	injury	leagueappearances	istopscorer	leaguegoalsprevthreematches	playerid	form	reds
0	0	0	0	21	29	0	1	0	0	0	0	0	270390	3	0
0	0	0	0	34	11	1	1	0	0	0	0	0	199503	3	0
0	0	0	0	17	3	2	1	0	0	0	0	0	201118	3	0
0	0	0	0	5	9	3	1	0	0	0	0	0	209989	3	0
0	0	0	0	25	28	4	1	0	0	0	0	0	213051	3	0
0	0	0	0	8	18	5	1	0	0	0	0	0	222665	2	0
0	0	0	0	3	7	6	1	0	0	0	0	0	226491	3	0
0	0	0	0	16	28	7	1	0	0	0	0	0	228295	3	0
0	0	0	0	4	4	8	1	0	0	0	0	0	231936	3	0
0	0	0	0	6	6	9	1	0	0	0	0	0	232580	4	0
0	0	0	0	18	29	10	1	0	0	0	0	0	232938	4	0
0	0	0	0	32	0	11	1	0	0	0	0	0	233934	3	0
0	0	0	0	31	28	12	1	0	0	0	0	0	236988	3	0
0	0	0	0	10	16	13	1	0	0	0	0	0	240273	3	0
0	0	0	0	23	29	14	1	0	0	0	0	0	241928	4	0
0	0	0	0	7	12	15	1	0	0	0	0	0	246669	3	0
0	0	0	0	35	28	16	1	0	0	0	0	0	251566	3	0
0	0	0	0	56	29	17	1	0	0	0	0	0	251569	3	0
0	0	0	0	61	29	18	1	0	0	0	0	0	259096	3	0
0	0	0	0	51	29	19	1	0	0	0	0	0	259403	3	0
0	0	0	0	68	29	20	1	0	0	0	0	0	260141	3	0
0	0	0	0	85	29	21	1	0	0	0	0	0	260143	3	0
0	0	0	0	50	28	22	1	0	0	0	0	0	256958	3	0
0	0	0	0	30	29	23	1	0	0	0	0	0	233267	3	0
1	0	0	1	9	25	24	1	0	0	0	0	1	230666	2	0
0	0	0	0	55	29	25	1	0	0	0	0	0	248732	3	0
0	0	0	0	11	29	26	1	0	0	0	0	0	227813	3	0
0	0	0	0	2	29	27	1	0	0	0	0	0	243715	3	0
0	0	0	0	14	29	28	1	0	0	0	0	0	231448	3	0
0	0	0	0	18	28	29	2	0	0	0	0	0	152908	3	0
0	0	0	0	23	16	30	2	0	0	0	0	0	189242	3	0
2	0	0	1	22	28	31	2	0	0	0	0	1	195859	2	0
0	0	0	0	27	7	32	2	0	0	0	0	0	200458	3	0
0	0	0	0	1	0	33	2	0	0	0	0	0	202811	3	0
0	0	0	0	21	28	34	2	0	0	0	0	0	205989	3	0
0	0	0	0	12	28	35	2	0	0	0	0	0	207557	1	0
0	0	0	0	30	28	36	2	0	0	0	0	0	210635	3	0
1	0	0	1	7	11	37	2	0	0	0	0	0	210881	3	0
0	0	0	0	8	29	38	2	0	0	0	0	0	210896	3	0
0	0	0	0	5	6	39	2	0	0	0	0	0	212419	1	0
0	0	0	0	11	25	40	2	0	0	0	0	0	221697	3	0
0	0	0	0	19	28	41	2	0	0	0	0	0	222994	3	0
1	0	0	1	10	18	42	2	0	0	0	0	1	226162	3	0
0	0	0	0	2	3	43	2	0	0	0	0	0	227174	2	0
0	0	0	0	9	4	44	2	0	0	0	0	0	227678	3	0
0	0	0	0	31	29	45	2	0	0	0	0	0	229906	3	0
0	0	0	0	6	9	46	2	0	0	0	0	0	236499	3	0
0	0	0	0	41	12	47	2	0	0	0	0	0	246923	3	0
0	0	0	0	45	29	48	2	0	0	0	0	0	256556	3	0
0	0	0	0	38	29	49	2	0	0	0	0	0	258928	3	0
0	0	0	0	36	29	50	2	0	0	0	0	0	264209	3	0
0	0	0	0	49	29	51	2	0	0	0	0	0	264410	3	0
0	0	0	0	50	29	52	2	0	0	0	0	0	264411	3	0
0	0	0	0	20	29	53	2	0	0	0	0	0	219693	3	0
0	0	0	0	37	29	54	2	0	0	0	0	0	258930	3	0
0	0	0	0	13	29	55	2	0	0	0	0	0	192317	2	0
0	0	0	0	54	29	56	2	0	0	0	0	0	268550	3	0
0	0	0	0	55	29	57	2	0	0	0	0	0	266609	3	0
0	0	0	0	4	29	58	2	0	0	0	0	0	236987	4	0
1	0	0	1	24	29	59	2	0	0	0	0	0	235353	2	0
0	0	0	0	35	29	60	2	0	0	0	0	0	220570	3	0
0	0	0	0	3	29	61	2	0	0	0	0	0	212678	3	0
