firstname	commonname	playerjerseyname	surname	playerid
Cody		Gakpo	Gakpo	242516
João		João Félix	Félix	242444
Benoît		B.Badiashile	Badiashile	242578
Jack		Butland	Butland	203042
Noni		Madueke	Madueke	254796
Lamine	Lamine Yamal	Lamine Yamal	Yamal	269150
Endrick Felipe	Endrick	Endrick	Moreira de Sousa	6357
Antonio	Silva	Silva	Silva	256125
Adrianne	Iron	Iron	Reid	1661
José Luis	Joselu	Joselu	Sanmartín Mato	173608
Vinícius José	Vinícius Jr.	Vini Jr.	de Oliveira Júnior	238794
Rodrygo	Rodrygo	Rodrygo	Silva de Goes	243812
Fran		Fran García	García	246606
Jude		Bellingham	Bellingham	252371
Jesús		Vallejo	Vallejo	225161
Sékou		Mara	Mara	257612
Lucas		Chávez	Chávez	264536
Dujuan		Richards	Richards	264373
Rico		Lewis	Lewis	264681
Stefan		Bajčetić	Bajčetić	264561
André		Onana	Onana	226753
Shea		Charles	Charles	260677
Mohamed		Amdouni	Amdouni	2067
Neymar	Neymar Jr	Neymar Jr	da Silva Santos Jr.	190871
Kylian		Mbappé	Mbappé	231747
Bukayo		Saka	Saka	246669
Axel		Disasi	Disasi	229942
Christopher		Nkunku	Nkunku	232411
David		Kalokoh	Kalokoh	1054
Aymeric		Laporte	Laporte	212218
Alejo		Veliz	Veliz	264227
Andrey		Santos	Santos	269154
Benjamin		Mendy	Mendy	204884
Cher		Cher Ndour	Ndour	269152
Mikayil	Mikayil Faye	Mikayil Faye	Faye	269153
Fermín		Fermín	Lopez	269155
Matheus		Matheus	Franca	234571
Carlos		Baleba	Baleba	267632
Dorde		Petrovic	Petrovic	2274
Matheus		Matheus N.	Nunes	253124
Fares		Chaibi	Chaibi	263867
Enso		González	González	267914
Murillo	Murillo	Murillo	dos Santos	2089
Tarek		Buchmann	Buchmann	7197
Rasmus		Højlund	Højlund	259399
Daniel		Peretz	Peretz	1184
Mathys		Tel	Tel	268421
Francisco		F. Conceição	Conceição	261050
Alex		McCarthy	McCarthy	189324
Gavin		Bazunu	Bazunu	243585
Warren		Zaïre-Emery	Zaïre-Emery	263334
Jorrel		Hato	Hato	264340
Evan		Ferguson	Ferguson	259608
Joao Pedro	Joao Neves	Joao Neves	Goncalves Neves	1914
Nicolas Paz	Nico Paz	Paz	Martinez	255468
Ben		Doak	Doak	84164
Melkamu		Frauendorf	Frauendorf	1683
Bryan Zaragosa	Bryan	Bryan	Martinez	245728
Claudio		Echeverri	Echeverri	264312
Samuel		Iling-Junior	Iling-Junior	2073
Arthur		Vermeeren	Vermeeren	235414
Simone		Pafundi	Pafundi	256061
Kenan		Yildiz	Yildiz	237693
Roony	Roony	Roony	Bardghji	6139
Paris		Brunner	Brunner	268272
Oscar		Gloukh	Gloukh	318
Rome-Jayden		Owusu-Oduro	Owusu-Oduro	6736
Sverre		Nypan	Nypan	268448
Eli Junior		Kroupi	Kroupi	266057
Estevão Willian	Estevão	Estevão	de Oliveira Goncalves	1861
Victor		Boniface	Boniface	247679
Tiago		Tiago Santos	Santos	268440
Lenny		Yoro	Yoro	268002
Marc Guiu		Marc Guiu	Paz	259882
Jack		Hinshelwood	Hinshelwood	2208
Gianluca Prestianni	Prestianni	Prestianni	Gross	84162
William		Osula	Osula	1995
Oscar		Bobb	Bobb	262015
Tom		Dele-Bashiru	Dele-Bashiru	233048
Lewis	Miley	Miley	Miley	216239
Vasilije		Adžić	Adžić	232254
Alvaro		Rodríguez	Rodríguez	253856
Gabriel		Gheorghe	Gheorghe	187986
Bailey	Rice	Rice	Rice	1070
Lennon	Miller	Miller	Miller	6262
George	Ilenikhena	Ilenikhena	Ilenikhena	240834
Nestory	Irankunda	Irankunda	Irankunda	7449
Dennis	Seimen	Seimen	Seimen	1863
Andrei Sebastian	Borza	Borza	Borza	568
Luka	Vrbancic	Vrbančić	Vrbančić	575
Adrian	Mazilu	Mazilu	Mazilu	7410
Lucas	Bergvall	Bergvall	Bergvall	264344
Yunus Emre	Konak	Konak	Konak	84000
Yegor		Yarmolyuk	Yarmolyuk	82258
Facundo		Buonanotte	Buonanotte	170719
Jarell	Quansah	Quansah	Quansah	84064
Héctor Fort	Héctor Fort	Fort	García	7403
Julien	Duranville	Duranville	Duranville	7379
Wisdom		Amey	Amey	2114
Can Yilmaz	Uzun	Uzun	Uzun	265770
Krisztian		Lisztes	Lisztes	7312
Jayden	Addai	Addai	Addai	6063
Gabriel	Misehouy	Misehouy	Misehouy	7347
Tygo	Land	Land	Land	263728
Jorne	Spileers	Spileers	Spileers	268270
Malick Martin	Fofana	Fofana	Fofana	2012
Sávio Moreira	Sávio	Sávio	de Oliveira	6376
Boubacar		Kamara	Kamara	236987
Ben		Osborn	Osborn	210985
Cameron		Archer	Archer	258930
Vinicius		Vinicius Souza	Souza	262929
Stephy		Mavididi	Mavididi	225783
Ousmane		Diomande 	Diomande 	269156
Álex		Álex	Jiménez	269157
Mika	Godts	Godts	Godts	269137
Matteo		Prati	Prati	269159
Youssef Ramalho	Chermiti	Chermiti	Chermiti	269160
Eliesse		Eliesse	Ben Seghir	269162
Brajan		B. Gruda	Gruda	269163
Yankuba		Yankuba	Minteh	269164
Damion	Downs	Downs	Downs	269165
Juan		Herzog	Herzog	269166
Pau		P. Ferrer 	Ferrer 	269167
Iñaki		I. González	González	269168
Allen		A. Obando	Obando	269169
Dean		D. Huijsen	Huijsen	269170
Abdul Fatawu	Abdul Fatawu	Abdul Fatawu	Issahaku	269171
Rav		Van den Berg	Van den Berg	269161
