countryid	leaguename	leaguetype	level	iscompetitionscarfenabled	isbannerenabled	leagueid	iscompetitionpoleflagenabled	iscompetitioncrowdcardsenabled	leaguetimeslice	iswithintransferwindow
0	OTP Generics	0	1	2	2	111	2	2	0	0
0	FIFA Career Saved Teams	0	6	2	2	2000	2	2	0	0
0	Youth Squad League	0	7	2	2	2028	2	2	0	0
0	FIFA Twist	0	1	2	2	2092	2	2	0	0
4	Austria Bundesliga (1)	0	1	2	2	80	2	2	5	0
7	Belgium Pro League (1)	0	1	2	2	4	2	2	5	0
10	Croatia HNL	0	1	2	2	349	2	2	4	0
12	Czech Fortuna Liga	0	1	2	2	351	2	2	4	0
13	Denmark Superliga (1)	0	1	2	2	1	2	2	5	0
14	England Premier League (1)	0	1	1	2	13	2	2	3	0
14	England Championship (2)	0	2	2	2	14	2	2	3	0
14	England League One (3)	0	3	2	2	60	2	2	3	0
14	England League Two (4)	0	4	2	2	61	2	2	3	0
18	France Ligue 1 (1)	0	1	2	2	16	2	2	3	0
18	France Ligue 2 (2)	0	2	2	2	17	2	2	4	0
21	Germany 1. Bundesliga (1)	0	1	2	2	19	2	2	3	0
21	Germany 2. Bundesliga (2)	0	2	2	2	20	2	2	4	0
21	Regionalliga	0	4	2	2	83	2	2	3	0
21	Germany 3. Liga (3)	0	3	2	2	2076	2	2	3	0
22	Greece Superleague	0	1	2	2	2149	2	2	3	0
25	Rep. Ireland Premier Division (1)	0	1	2	2	65	2	2	8	0
27	Italy Serie A (1)	0	1	1	1	31	1	1	3	0
27	Serie B	0	2	1	1	350	1	1	3	0
27	Serie C	0	3	2	2	2012	2	2	3	0
34	Holland Eredivisie (1)	0	1	2	2	10	2	2	3	0
36	Norway Eliteserien (1)	0	1	2	2	41	2	2	7	0
37	Poland Ekstraklasa (1)	0	1	2	2	66	2	2	4	0
38	Portugal Primeira Liga (1)	0	1	2	2	308	2	2	3	0
39	Romania Liga I (1)	0	1	2	2	330	2	2	5	0
42	Scotland Premiership (1)	0	1	2	2	50	2	2	4	0
45	Spain Primera División (1)	0	1	0	1	53	1	1	3	0
45	Spain Segunda División (2)	0	2	0	1	54	1	1	3	0
46	Sweden Allsvenskan (1)	0	1	2	2	56	2	2	7	0
47	Switzerland Super League (1)	0	1	2	2	189	2	2	5	0
48	Turkey Süper Lig (1)	0	1	2	2	68	2	2	3	0
52	Argentina Primera División (1)	0	1	2	2	353	2	2	6	0
54	Brazil Serie A (1)	0	1	2	2	7	2	2	7	0
75	International	0	5	2	2	78	2	2	0	0
83	Mexico Liga MX (1)	0	1	2	2	341	2	2	5	0
95	USA Major League Soccer (1)	0	1	2	2	39	2	2	8	0
159	Rest of Europe	0	1	2	2	2209	2	2	8	0
163	Japan J1 League (1)	0	1	2	2	3001	2	2	8	0
195	Australia A-League (1)	0	1	2	2	2210	2	2	3	0
209	Create Player League	0	1	2	2	383	2	2	0	0
210	Free Agents League	0	1	2	2	382	2	2	0	0
211	Rest of World	0	4	2	2	76	2	2	0	0
216	Creation Zone League	0	1	2	2	384	2	2	0	0
222	International Women	0	5	2	2	2136	2	2	3	0
225	CONMEBOL Libertadores	0	1	2	2	1003	2	2	0	0
225	CONMEBOL Sudamericana	0	1	2	2	1014	2	2	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
0		0	1	0	0	1	0	0	0	0
