homega	previousyeartableposition	homegf	currenttableposition	awaygf	awayga	teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	highestpossible	teamform	highestprobable	homewins	artificialkey	nummatchesplayed	teamid	grouping	awaywins	objective	points	actualvsexpectations	homelosses	unbeatenhome	lastgameresult	unbeatenaway	awaylosses	awaydraws	homedraws	teamlongform
4	12	6	5	6	7	46	0	0	0	0	0	1	1	0	2102	8	2	1	10	270	8	1	5	14	0	1	0	0	0	1	3	2	46
8	4	6	10	2	4	46	0	0	0	0	0	1	1	0	122	5	1	2	9	271	5	1	10	9	4	2	0	0	0	2	1	2	33
6	9	5	8	7	10	40	0	0	0	0	0	1	1	0	11201	3	1	3	10	272	3	1	3	11	1	1	0	1	0	2	3	2	36
5	3	8	2	16	2	80	0	0	0	0	0	1	1	0	22202	10	2	4	10	819	10	5	0	23	2	1	0	0	1	0	0	2	76
2	7	6	3	8	7	66	0	0	0	0	0	1	1	0	12220	10	3	5	10	820	10	2	8	18	0	1	0	2	0	1	3	0	60
14	10	5	12	2	9	6	0	1	0	0	0	1	1	0	10	4	0	6	10	822	4	0	5	2	2	4	0	2	0	4	0	2	6
8	11	6	9	7	9	40	0	0	0	0	0	1	1	0	21011	5	1	7	10	1443	5	1	5	10	1	3	0	1	0	1	3	1	33
6	8	4	11	1	5	26	0	0	0	0	0	1	1	0	102	4	2	8	9	1447	4	0	3	8	3	2	0	0	0	3	1	1	29
3	2	11	1	6	2	80	0	0	0	0	0	1	1	0	20222	0	4	9	10	1516	0	4	0	24	1	1	0	0	0	1	0	0	80
6	6	6	4	7	5	26	0	0	0	0	0	1	1	0	10020	10	2	10	10	1786	10	3	8	17	0	1	0	2	0	2	0	2	56
9	5	8	6	6	7	20	0	0	0	0	0	1	1	0	20000	8	2	11	10	1788	8	2	8	13	1	2	0	2	0	3	0	1	43
6	4	12	6	6	5	53	0	0	0	0	0	4	4	0	2211	8	2	12	9	229	8	2	10	15	2	1	0	1	0	1	2	1	55
6	3	8	4	11	7	86	0	0	0	0	0	4	4	0	12222	10	2	13	9	230	10	3	10	17	1	1	0	0	0	1	1	1	62
6	1	10	1	7	6	66	0	0	0	0	1	4	4	0	20221	0	2	14	9	231	0	3	0	18	1	0	1	1	0	1	0	3	66
9	8	5	11	4	5	40	0	0	0	0	0	4	4	0	20200	3	1	15	9	232	3	3	8	13	2	3	0	2	0	1	0	1	48
6	13	6	12	9	5	46	0	0	0	0	0	4	4	0	12200	3	1	16	9	670	3	2	8	13	2	2	0	2	1	0	2	2	48
5	2	12	3	7	7	66	0	0	0	0	0	4	4	0	21202	10	3	17	9	673	10	2	0	17	2	1	0	0	0	1	1	1	62
7	5	14	13	2	5	46	0	0	0	0	0	4	4	0	20012	3	3	18	9	674	3	0	10	11	3	1	0	0	0	3	1	1	40
9	9	0	18	7	13	0	0	1	0	0	0	4	4	0	0	4	0	19	9	675	4	0	3	1	3	5	0	2	0	3	1	0	3
8	15	4	8	5	3	60	0	0	0	0	0	4	4	0	2202	8	1	20	9	680	8	3	3	13	0	3	0	0	0	1	1	0	48
8	7	6	10	7	9	26	0	0	0	0	0	4	4	0	21	3	2	21	9	682	3	2	3	13	1	2	0	1	0	2	0	1	48
6	16	3	16	8	7	20	0	0	0	0	0	4	4	0	200	4	0	22	9	1750	4	2	5	8	2	3	0	2	0	2	1	1	29
5	12	4	2	14	5	60	0	0	0	0	0	4	4	0	20022	10	1	23	9	2013	10	4	5	17	0	2	0	0	1	0	1	1	62
4	17	9	5	8	5	46	0	0	0	0	0	4	4	0	2120	8	3	24	9	2014	8	2	5	16	0	2	0	2	0	1	1	0	59
14	10	7	15	7	4	33	0	0	0	0	0	4	4	0	12001	5	0	25	9	15005	5	2	8	9	3	3	0	1	0	1	1	2	33
4	14	6	7	6	6	53	0	0	0	0	0	4	4	0	21021	8	2	26	9	100081	8	2	3	14	0	1	0	1	0	2	1	1	51
7	11	5	17	4	10	33	0	0	0	0	0	4	4	0	1201	4	1	27	9	100087	4	0	3	8	3	1	0	1	0	2	3	2	29
6	6	9	9	6	12	66	0	0	0	0	0	4	4	0	21022	3	3	28	9	110724	3	1	8	13	2	1	0	0	0	3	1	0	48
5	18	5	14	3	11	40	0	0	0	0	0	4	4	0	22000	3	2	29	9	112695	3	1	5	9	0	2	0	2	0	4	0	0	33
9	5	10	8	12	14	73	0	0	0	0	0	7	7	0	21221	3	4	30	21	567	3	3	8	29	2	2	0	1	0	4	4	4	40
5	3	19	1	13	8	73	0	0	0	0	0	7	7	0	21122	0	7	31	20	1035	0	7	0	45	1	1	0	0	0	2	2	1	86
11	9	14	10	11	13	26	0	0	0	0	0	7	7	0	102	3	5	32	20	1039	3	3	8	27	2	2	0	0	0	7	0	3	23
10	2	10	7	14	12	73	0	0	0	0	0	7	7	0	21122	8	3	33	20	1048	8	4	9	29	2	3	0	0	0	2	5	3	63
9	8	11	14	9	16	20	0	0	0	0	0	7	7	0	10011	5	4	34	21	1053	3	1	8	24	2	2	0	1	0	5	4	5	30
17	14	15	15	10	16	33	0	0	0	0	0	7	7	0	211	5	4	35	21	1598	5	2	3	23	2	5	0	1	0	5	3	2	20
