leaguegoals	isamongtopscorers	yellows	isamongtopscorersinteam	jerseynumber	position	artificialkey	teamid	leaguegoalsprevmatch	injury	leagueappearances	istopscorer	leaguegoalsprevthreematches	playerid	form	reds
0	0	0	0	20	29	1	114815	0	0	0	0	0	27	3	0
0	0	0	0	8	18	2	101146	0	0	0	0	0	41	0	0
0	0	0	0	18	28	3	111674	0	0	0	0	0	65	0	0
0	0	0	0	4	3	4	982	0	0	0	0	0	67	0	0
0	0	0	0	19	29	5	982	0	0	0	0	0	82	0	0
0	0	0	0	18	29	6	115845	0	0	0	0	0	83	0	0
0	0	0	0	22	0	7	1478	0	0	0	0	0	86	0	0
0	0	0	0	6	6	8	112558	0	0	0	0	0	87	0	0
0	0	0	0	29	2	9	981	0	0	0	0	0	93	0	0
0	0	0	0	19	29	10	112914	0	0	0	0	0	97	0	0
0	0	0	0	21	29	11	111011	0	0	0	0	0	99	0	0
0	0	0	0	8	29	12	1478	0	0	0	0	0	101	0	0
0	0	0	0	38	23	13	1478	0	0	0	0	0	102	0	0
0	0	0	0	17	29	14	1478	0	0	0	0	0	109	0	0
0	0	0	0	39	0	15	112990	0	0	0	0	0	135	0	0
0	0	0	0	13	12	16	101100	0	0	0	0	0	136	0	0
0	0	0	0	6	6	17	112990	0	0	0	0	0	138	0	0
0	0	0	0	5	28	18	112990	0	0	0	0	0	140	0	0
0	0	0	0	15	28	19	112990	0	0	0	0	0	143	0	0
0	0	0	0	18	3	20	112990	0	0	0	0	0	144	0	0
0	0	0	0	21	23	21	112990	0	0	0	0	0	149	0	0
0	0	0	0	10	0	22	111011	0	0	0	0	0	161	0	0
0	0	0	0	13	29	23	110394	0	0	0	0	0	161	0	0
0	0	0	0	28	29	24	34	0	0	0	0	0	162	0	0
0	0	0	0	4	6	25	111011	0	0	0	0	0	165	0	0
0	0	0	0	21	29	26	110588	0	0	0	0	0	167	0	0
0	0	0	0	3	29	27	1478	0	0	0	0	0	168	0	0
0	0	0	0	14	29	28	110532	0	0	0	0	0	169	0	0
0	0	0	0	21	13	29	110482	0	0	0	0	0	177	0	0
0	0	0	0	5	6	30	110765	0	0	0	0	0	178	0	0
0	0	0	0	15	28	31	111011	0	0	0	0	0	179	0	0
0	0	0	0	15	28	32	981	0	0	0	0	0	197	0	0
0	0	0	0	15	7	33	112572	0	0	0	0	0	198	0	0
0	0	0	0	32	7	34	112914	0	0	0	0	0	215	0	0
0	0	0	0	15	24	35	112914	0	0	0	0	0	228	0	0
0	0	0	0	15	12	36	111674	0	0	0	0	0	234	0	0
0	0	0	0	27	26	37	112914	0	0	0	0	0	236	0	0
0	0	0	0	16	29	38	114815	0	0	0	0	0	240	3	0
0	0	0	0	15	13	39	114815	0	0	0	0	0	246	3	0
0	0	0	0	17	3	40	111674	0	0	0	0	0	247	0	0
0	0	0	0	8	11	41	111674	0	0	0	0	0	248	0	0
0	0	0	0	7	18	42	111674	0	0	0	0	0	249	0	0
0	0	0	0	32	29	43	114815	0	0	0	0	0	250	3	0
0	0	0	0	14	28	44	111674	0	0	0	0	0	251	0	0
0	0	0	0	12	28	45	110482	0	0	0	0	0	256	0	0
0	0	0	0	27	28	46	111011	0	0	0	0	0	262	0	0
0	0	0	0	33	29	47	485	0	0	0	0	0	263	0	0
0	0	0	0	15	28	48	112115	0	0	0	0	0	267	0	0
0	0	0	0	19	29	49	114600	0	0	0	0	0	273	0	0
0	0	0	0	14	29	50	114600	0	0	0	0	0	275	0	0
0	0	0	0	27	28	51	101100	0	0	0	0	0	286	0	0
0	0	0	0	21	29	52	101100	0	0	0	0	0	290	0	0
0	0	0	0	11	4	53	112914	0	0	0	0	0	300	0	0
0	0	0	0	14	28	54	110765	0	0	0	0	0	303	0	0
0	0	0	0	31	8	55	110765	0	0	0	0	0	315	0	0
0	0	0	0	16	28	56	191	0	0	0	0	0	318	0	0
0	0	0	0	8	28	57	110765	0	0	0	0	0	323	0	0
0	0	0	0	13	29	58	492	0	0	0	0	0	329	0	0
0	0	0	0	22	29	59	114815	0	0	0	0	0	330	3	0
0	0	0	0	23	16	60	115483	0	0	0	0	0	331	0	0
0	0	0	0	24	28	61	101100	0	0	0	0	0	334	0	0
0	0	0	0	18	13	62	110501	0	0	0	0	0	337	0	0
0	0	0	0	18	5	63	112558	0	0	0	0	0	339	0	0
0	0	0	0	27	28	64	112558	0	0	0	0	0	340	0	0
0	0	0	0	15	29	65	112558	0	0	0	0	0	342	0	0
0	0	0	0	12	29	66	607	0	0	0	0	0	415	0	0
0	0	0	0	5	28	67	607	0	0	0	0	0	418	0	0
0	0	0	0	12	3	68	113939	0	0	0	0	0	432	0	0
0	0	0	0	22	28	69	112393	0	0	0	0	0	455	0	0
0	0	0	0	18	4	70	112393	0	0	0	0	0	459	0	0
